Ticket ID,Issue Type,Priority,Sprint,Summary,Description,Owner,Estimate,Depends On,Due Date,Labels,Acceptance Criteria
YAZGI-MVP-001,Spike,P1,Sprint 1,Causal failure mapping for failing suites,Map each failing suite to a root-cause cluster and owner,Dev A+Dev B,0.5d,,2026-03-02,"mvp,stabilization,tests","All failing suites clustered by root cause; each cluster has owner; mapping doc linked"
YAZGI-MVP-002,Task,P1,Sprint 1,Secret ending threshold test sync,Align secret ending thresholds with current ending logic tests,Dev A,0.5h,YAZGI-MVP-001,2026-03-02,"mvp,ending,test-sync","endingResolver and edgeCases suites pass; no non-secret route regression"
YAZGI-MVP-003,Task,P1,Sprint 1,personalitySystem breakdown expectation sync,Sync breakdown risk expectations to current formula,Dev B,0.25h,YAZGI-MVP-001,2026-03-02,"mvp,personality,test-sync","personalitySystem suite passes; expected values documented"
YAZGI-MVP-004,Task,P1,Sprint 1,economicRecoveryEvents test sync,Update recovery event tests to current event catalog contract,Dev B,0.25h,YAZGI-MVP-001,2026-03-02,"mvp,economy,test-sync","economicRecoveryEvents suite passes; assertions reflect current invariants"
YAZGI-MVP-005,Bug,P1,Sprint 1,AppShell modal import renderer fix,Fix AppShell integration failure caused by modal import or render mismatch,Dev B,0.5d,YAZGI-MVP-001,2026-03-03,"mvp,appshell,ui,tests","AppShell integration suite passes; runtime modal flow still works"
YAZGI-MVP-006,Task,P2,Sprint 1,Bitmask sync featureFlags experimentBucketing,Align bitmask length and order with active feature flag list,Dev B,0.5d,YAZGI-MVP-001,2026-03-03,"mvp,analytics,feature-flags,tests","experimentAssignment suite passes; bitmask contract documented"
YAZGI-MVP-007,Task,P3,Sprint 1,endingResolver and career scoring alignment,Align ending and career scoring behavior with current balancing and tests,Dev A,1.5d,YAZGI-MVP-002,2026-03-05,"mvp,ending,career,balancing","gameUtilsExtended and related ending suites pass"
YAZGI-MVP-008,Task,P1,Sprint 1,Sprint 1 quality gate run,Run consolidated gate for Sprint 1 and verify failing suites target,Dev A+Dev B+QA,0.5d,"YAZGI-MVP-002,YAZGI-MVP-003,YAZGI-MVP-004,YAZGI-MVP-005,YAZGI-MVP-006,YAZGI-MVP-007",2026-03-06,"mvp,qa-gate,stabilization","typecheck passes; failing suites <=4; no new P0 regression"
YAZGI-MVP-009,Task,P4,Sprint 2,Save contract decision v5 authority,Finalize export or encryption contract authority for save system v5,Dev A+QA,0.5d,YAZGI-MVP-008,2026-03-09,"mvp,save,contract,decision","Decision note recorded and approved by Dev A and QA"
YAZGI-MVP-010,Task,P4,Sprint 2,Save encryption export suite closure,Implement save export and encryption changes to satisfy agreed v5 contract,Dev A,0.5d,YAZGI-MVP-009,2026-03-10,"mvp,save,encryption,tests","SaveExportImport suite passes; backward import behavior verified"
YAZGI-MVP-011,Task,P1,Sprint 2,Full suite gate to green,Run full test gate and close residual regressions,Dev A+Dev B+QA,1.0d,YAZGI-MVP-010,2026-03-13,"mvp,qa-gate,full-suite","typecheck and full test command pass"
YAZGI-MVP-012,Task,P2,Sprint 3,Premium rollout design with kill switch,Define staged premium rollout policy with rollback trigger,Dev B,0.5d,YAZGI-MVP-011,2026-03-16,"mvp,premium,rollout","Default off and rollback strategy documented"
YAZGI-MVP-013,Task,P2,Sprint 3,Paywall purchase flow hardening,Harden purchase cancel restore and failure paths in paywall and subscription,Dev B,2.0d,YAZGI-MVP-012,2026-03-20,"mvp,premium,paywall,stability","Happy fail cancel restore flows deterministic and stable"
YAZGI-MVP-014,Task,P2,Sprint 3,Runtime config hardening revenue ads,Harden runtime key resolution and missing key fallbacks for revenue and ads,Dev A,1.0d,YAZGI-MVP-012,2026-03-19,"mvp,config,monetization,stability","Missing keys do not crash app; fallback path validated"
YAZGI-MVP-015,Task,P2,Sprint 3,Premium QA sandbox matrix,Execute premium sandbox matrix and produce sign-off report,QA,1.5d,"YAZGI-MVP-013,YAZGI-MVP-014",2026-03-21,"mvp,qa,premium,sandbox","Matrix includes success cancel fail restore network-loss; QA report attached"
YAZGI-MVP-016,Task,P1,Sprint 4,RC stabilization bugfix batch,Apply cross-module bugfixes to achieve RC stability,Dev A+Dev B,2.0d,YAZGI-MVP-015,2026-03-27,"mvp,rc,stabilization","No open P0 or P1 bugs in RC scope"
YAZGI-MVP-017,Task,P1,Sprint 4,Release checks and smoke,Run release smoke matrix on core loop save and monetization toggles,QA,1.5d,YAZGI-MVP-016,2026-03-27,"mvp,release,qa,smoke","Smoke checklist passes and is signed"
YAZGI-MVP-018,Task,P1,Sprint 4,Release notes and go no go decision,Prepare release notes and formal ship decision record,Dev A+QA,0.5d,YAZGI-MVP-017,2026-03-27,"mvp,release,decision","Go no-go documented with known issues and release notes"
